_id,skill_tree_id,required_skill_tree_points,name,name_de,name_fr,name_es,name_it,name_jp,description,description_de,description_fr,description_es,description_it,description_jp
128,63,10,Item Use Up,Obj.nutz. hoch,Habile,Efecto objeto +1,Uso oggetti +,アイテム使用強化,Increases the effect time of certain items.,Verlängert die Wirkungszeit bestimmter Objekte.,Augmente la durée d'effet de certains objets.,Aumenta el tiempo de efecto de ciertos objetos.,Aumenta la durata degli effetti di alcuni oggetti.,薬、ドリンク、種、丸薬などのアイテムの効果持続時間が1.5倍になる
129,63,-10,Item Use Down,Obj.nutz runter,Maladroit,Efecto objeto -1,Uso oggetti -,アイテム使用弱化,Decreases the effect time of certain items.,Verkürzt die Wirkungszeit bestimmter Objekte.,Réduit la durée d'effet de certains objets.,Reduce el tiempo de efecto de ciertos objetos.,Riduce la durata degli effetti di alcuni oggetti.,薬、ドリンク、種、丸薬などのアイテムの効果持続時間が2/3になる
130,64,10,Use Any Normal S,Alle Normal S vw,Expert munition,Mun. normal,P normali,通常弾全LV追加,Allows all levels of Normal shots (Normal S) to be loaded.,Ermöglicht das Laden aller Stufen von Normal-Schüssen (Normal S).,Vous pouvez utiliser tous les niveaux de munition normale.,Permite que se carguen todos los niveles de disparos normales.,Permette di caricare proiettili normali di tutti i livelli.,全LVの通常弾が使えるようになる
131,65,15,Use Any Pierce S,Alle Perfor S vw,Expert perçant,Mun. perforadora,P perforanti,貫通弾全LV追加,Allows all levels of Pierce shots (Pierce S) to be loaded.,Ermöglicht das Laden aller Stufen von Perforieren- Schüssen (Perfor S).,Vous pouvez utiliser tous les niveaux de balle perçante.,Permite que se carguen todos los niveles de disparos perforadores.,Permette di caricare proiettili perforanti di tutti i livelli.,全LVの貫通弾が使えるようになる
132,65,10,Use Lv1 Pierce S,Perfor. S St1 vw,Perçant NV1,Mun. perfor. Nv1,P perforanti lv1,貫通弾LV1追加,Allows Lv1 Pierce shots (Pierce S) to be loaded.,Ermöglicht das Laden von Perfor.- Schüssen (Perfor S) der Stufe 1.,Vous pouvez utiliser les balles perçantes de NV1.,Permite que se carguen los disparos perforadores Nv1.,Permette di caricare proiettili perforanti di lv1.,LV1貫通弾が使えるようになる
133,66,15,Use Any Pellet S,Alle Schrot S vw,Expert grenaille,Mun. perdigón,P ventaglio,散弾全LV追加,Allows all levels of Pellet shots (Pellet S) to be loaded.,Ermöglicht das Laden aller Stufen von Schrot-Schüssen (Schrot S).,Vous pouvez utiliser tous les niveaux de grenaille.,Permite que se carguen todos los niveles de disparos de perdigón.,Permette di caricare proiettili a ventaglio di tutti i livelli.,全LVの散弾が使えるようになる
134,66,10,Use Lv1 Pellet S,Schrot S St1 vw,Grenaille NV1,Mun. perdigón Nv1,P ventaglio lv1,散弾LV1追加,Allows Lv1 Pellet shots (Pellet S) to be loaded.,Ermöglicht das Laden von Schrot- Schüssen (Schrot S) der Stufe 1.,Vous pouvez utiliser la grenaille de NV1.,Permite que se carguen los disparos de perdigón Nv1.,Permette di caricare proiettili a ventaglio di lv1.,LV1散弾が使えるようになる
135,67,15,Use Any Crag S,Alle Explos S vw,Expert antiblind.,Mun. explosiva,P esplosivi,徹甲榴弾全LV追加,Allows all levels of Crag shots (Crag S) to be loaded.,Ermöglicht das Laden aller Stufen von Explosiv-Schüssen (Explosiv S).,Vous pouvez utiliser tous les niveaux d'antiblindage.,Permite que se carguen todos los niveles de disparos explosivos.,Permette di caricare proiettili esplosivi (P esplosivi) di tutti i livelli.,全LVの徹甲榴弾が使えるようになる
136,67,10,Use Lv1 Crag S,Explos. S St1 vw,Antiblindage NV1,Mun. explosiva Nv1,P esplosivi lv1,徹甲榴弾LV1追加,Allows Lv1 Crag shots (Crag S) to be loaded.,Ermöglicht das Laden von Explosiv- Schüssen (Explosiv S) der Stufe 1.,Vous pouvez utiliser l'antiblindage de NV1.,Permite que se carguen los disparos explosivos Nv1.,Permette di caricare proiettili esplosivi di lv1.,LV1徹甲榴弾が使えるようになる
137,68,15,Use Any Clust S,Alle Streu S vw,Expert frag,Mun. fragmentación,P grappolo,拡散弾全LV追加,Allows all levels of Cluster shots (Clust S) to be loaded.,Ermöglicht das Laden aller Stufen von Streu-Schüssen (Streu S).,Vous pouvez utiliser tous les niveaux de fragmentation.,Permite que se carguen todos los niveles de disparos de grupo.,Permette di caricare proiettili a grappolo (P grappolo) di tutti i livelli.,全LVの拡散弾が使えるようになる
138,68,10,Use Lv1 Clust S,Streu S St1 vw,Frag NV 1,Mun. fragment. Nv1,P grappolo lv1,拡散弾LV1追加,Allows Lv1 Cluster shots (Clust S) to be loaded.,Ermöglicht das Laden von Streu- Schüssen (Streu S) der Stufe 1.,Vous pouvez utiliser la fragmentation de NV1.,Permite que se carguen los disparos de grupo Nv1.,Permette di caricare proiettili a grappolo (P grappolo) di lv1.,LV1拡散弾が使えるようになる
139,69,10,Use Slicing S,Schnitt S vw,Tranchant +,Mun. cortadora,P laceranti,斬裂弾追加,Allows Slicing shots (Slicing S) to be loaded.,Ermöglicht das Laden von Schnitt-Schüssen (Schnitt S).,Vous pouvez utiliser les munitions tranchantes.,Permite que se carguen los disparos cortadores.,Permette di caricare proiettili laceranti (P laceranti).,斬裂弾の装着が可能になる
140,70,10,Use Blast S,Spreng S vw,Explosion +,Mun. nitro,P scoppio,爆破弾追加,Allows Blast shots (Blast S) to be loaded.,Ermöglicht das Laden von Spreng-Schüssen (Spreng S).,Vous pouvez utiliser les munitions explosives.,Permite que se carguen los disparos de nitro.,Permette di caricare proiettili scoppio (P scoppio).,爆破弾の装填を可能にする
141,71,10,Use Poison Coat,Giftbeschtg vw,Fiole poison +,Revestim. veneno,Boccetta veleno,毒ビン追加,Allows Poison coatings to be set when equipped with a Bow.,"Ermöglicht Giftbeschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de poison avec votre arc.,Permite usar revestimientos de veneno cuando llevas un arco.,Permette di usare la boccetta di veleno per intingere le frecce.,毒ビンの装着が可能になる
142,72,10,Use Para Coat,Lähmbeschtg vw,Fiole paralys. +,Revestim. paraliz.,Boccetta paral.,麻痺ビン追加,Allows Paralysis coatings to be set when equipped with a Bow.,"Ermöglicht Lähmbeschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de paralysie avec votre arc.,Permite usar revestimientos paralizantes cuando llevas un arco.,Permette di usare la boccetta di paralisi per intingere le frecce.,麻痺ビンの装着が可能になる
143,73,10,Use Sleep Coat,Schlafbschtg vw,Fiole sommeil +,Revestim. sueño,Boccetta sonno,睡眠ビン追加,Allows Sleep coatings to be set when equipped with a Bow.,"Ermöglicht Schlafbeschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de sommeil avec votre arc.,Permite usar revestimientos de sueño cuando llevas un arco.,Permette di usare la boccetta di sonno per intingere le frecce.,睡眠ビンの装着が可能になる
144,74,10,Use Power Coat,Kraftbeschtg vw,Fiole force +,Revestim. energía,Boccetta potenza,強撃ビン追加,Allows Power coatings to be set when equipped with a Bow.,"Ermöglicht Kraftbeschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de force avec votre arc.,Permite usar revestimientos de energía cuando llevas un arco.,Permette di usare la boccetta di potenza per intingere le frecce.,強撃ビンの装着が可能になる
145,75,10,Use C.Range Coat,Nahkampfbesch vw,Fiole combat +,Revestim. alcance,Boccetta cortor.,接撃ビン追加,Allows Close-range coatings to be set when equipped with a Bow.,"Ermöglicht Nahkampfbeschich- tungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de combat avec votre arc.,Permite usar revestimientos de alcance cuando llevas un arco.,Permette di usare la boccetta per gli attacchi a corto raggio e di intingervi le frecce.,接撃ビンの装着が可能になる
146,76,10,Use Exhaust Coat,Ermüdbeschtg vw,Fiole faiblesse +,Revestim. fatiga,Boccetta fatica,減気ビン追加,Allows Exhaust coatings to be set when equipped with a Bow.,"Ermöglicht Ermüdungs- beschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de faiblesse avec votre arc.,Permite usar revestimientos de fatiga cuando llevas un arco.,Permette di usare la boccetta di fatica per intingere le frecce.,減気ビンの装着が可能になる
147,77,10,Use Blast Coat,Sprengbschtg vw,Fiole explosion +,Revestim. nitro,Boccetta scoppio,爆破ビン追加,Allows Blast coatings to be set when equipped with a Bow.,"Ermöglicht Spreng- beschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles explosives avec votre arc.,Permite usar revestimientos de nitro cuando llevas un arco.,Permette di usare la boccetta scoppio per intingere le frecce.,爆破ビンを装着可能にする
148,78,15,Steadiness +2,Ruhige Hand +2,Sniper +2,Precisión +2,Precisione +2,ブレ抑制+2,Greatly decreases Deviation when firing.,Verringert die Abweichung beim Schießen stark.,Réduit grandement la déviation du projectile au moment du tir.,Reduce mucho la desviación al disparar.,Diminuisce molto la deviazione al momento del tiro.,弾道のブレ幅がなくなる
149,78,10,Steadiness +1,Ruhige Hand +1,Sniper +1,Precisión +1,Precisione +1,ブレ抑制+1,Decreases Deviation when firing.,Verringert die Abweichung beim Schießen.,Réduit la déviation du projectile au moment du tir.,Reduce la desviación al disparar.,Diminuisce la deviazione durante la mira.,弾道のブレ幅が1段階減少する
150,78,-10,Steadiness -1,Ruhige Hand -1,Sniper -1,Precisión -1,Precisione -1,ブレ抑制-1,Increases Deviation when firing.,Erhöht die Abweichung beim Schießen.,Augmente la déviation du projectile au moment du tir.,Aumenta la desviación al disparar.,Aumenta la deviazione durante la mira.,弾道のブレ幅が1段階増加する
151,78,-15,Steadiness -2,Ruhige Hand -2,Sniper -2,Precisión -2,Precisione -2,ブレ抑制-2,Greatly increases Deviation when firing.,Erhöht die Abweichung beim Schießen stark.,Augmente grandement la déviation du projectile au moment du tir.,Aumenta mucho la desviación al disparar.,Aumenta molto la deviazione durante la mira.,弾道のブレ幅がブレ大になる
152,79,20,Fire Atk +3,Feuerangriff +3,Attaque Feu +3,Ataque fuego +3,Att. fuoco +3,火属性攻撃強化+3,Massively increases the power of Fire attacks and Flaming shots (Flaming S).,Erhöht die Kraft von Feuer- angriffen und Flammen- schüssen (Flamme S) sehr stark.,Augmente massivement la puissance des attaques de feu et munitions de feu.,Aumenta muchísimo la potencia de ataques de fuego y disparos de llama.,Aumenta nettamente la potenza degli attacchi fuoco e dei proiettili fiamma (P fiamma).,火属性の攻撃が1.15倍+90になる
153,79,15,Fire Atk +2,Feuerangriff +2,Attaque Feu +2,Ataque fuego +2,Att. fuoco +2,火属性攻撃強化+2,Greatly increases the power of Fire attacks and Flaming shots (Flaming S).,Erhöht die Kraft von Feuer- angriffen und Flammen- schüssen (Flamme S) stark.,Augmente beaucoup la puissance des attaques de feu et munitions de feu.,Aumenta mucho la potencia de ataques de fuego y disparos de llama.,Aumenta molto la potenza degli attacchi fuoco e dei proiettili fiamma (P fiamma).,火属性の攻撃が1.1倍+60になる
154,79,10,Fire Atk +1,Feuerangriff +1,Attaque Feu +1,Ataque fuego +1,Att. fuoco +1,火属性攻撃強化+1,Increases the power of Fire attacks and Flaming shots (Flaming S).,Erhöht die Kraft von Feuer- angriffen und Flammen- schüssen (Flamme S).,Augmente la puissance des attaques de feu et munitions de feu.,Aumenta la potencia de ataques de fuego y disparos de llama.,Aumenta la potenza degli attacchi fuoco e dei proiettili fiamma (P fiamma).,火属性の攻撃が1.05倍+40になる
155,79,-10,Fire Atk Down,Feuerang. runter,Attaque Feu -,Ataque fuego -1,Att. fuoco -1,火属性攻撃弱化,Decreases the power of Fire attacks and Flaming shots (Flaming S).,Verringert die Kraft von Feuer- angriffen und Flammen- schüssen (Flamme S).,Diminue la puissance des attaques de feu et munitions de feu.,Reduce la potencia de ataques de fuego y disparos de llama.,Riduce la potenza degli attacchi fuoco e dei proiettili fiamma (P fiamma).,火属性の攻撃が0.75倍になる
156,80,20,Water Atk +3,Wasserangriff +3,Attaque Eau +3,Ataque agua +3,Att. acqua +3,水属性攻撃強化+3,Massively increases the power of Water attacks and Water shots (Water S).,Erhöht die Kraft von Wasser- angriffen und Wasserschüssen (Wasser S) sehr stark.,Augmente massivement la puissance des attaques d'eau et munitions aquatiques.,Aumenta muchísimo la potencia de ataques de agua y disparos de agua.,Aumenta nettamente la potenza degli attacchi acqua e dei proiettili acqua (P acqua).,水属性の攻撃が1.15倍+90になる
157,80,15,Water Atk +2,Wasserangriff +2,Attaque Eau +2,Ataque agua +2,Att. acqua +2,水属性攻撃強化+2,Greatly increases the power of Water attacks and Water shots (Water S).,Erhöht die Kraft von Wasser- angriffen und Wasserschüssen (Wasser S) stark.,Augmente beaucoup la puissance des attaques d'eau et munitions aquatiques.,Aumenta mucho la potencia de ataques de agua y disparos de agua.,Aumenta molto la potenza degli attacchi acqua e dei proiettili acqua (P acqua).,水属性の攻撃が1.1倍+60になる
158,80,10,Water Atk +1,Wasserangriff +1,Attaque Eau +1,Ataque agua +1,Att. acqua +1,水属性攻撃強化+1,Increases the power of Water attacks and Water shots (Water S).,Erhöht die Kraft von Wasser- angriffen und Wasserschüssen (Wasser S).,Augmente la puissance des attaques d'eau et munitions aquatiques.,Aumenta la potencia de ataques de agua y disparos de agua.,Aumenta la potenza degli attacchi acqua e dei proiettili acqua (P acqua).,水属性の攻撃が1.05倍+40になる
159,80,-10,Water Atk Down,Wasseran. runter,Attaque Eau -,Ataque agua -1,Att. acqua -1,水属性攻撃弱化,Decreases the power of Water attacks and Water shots (Water S).,Verringert die Kraft von Wasser- angriffen und Wasserschüssen (Wasser S).,Diminue la puissance des attaques d'eau et munitions aquatiques.,Reduce la potencia de ataques de agua y disparos de agua.,Riduce la potenza degli attacchi acqua e dei proiettili acqua (P acqua).,水属性の攻撃が0.75倍になる
160,81,20,Thunder Atk +3,Donnerangriff +3,Attaque Foudre +3,Ataque rayo +3,Att. tuono +3,雷属性攻撃強化+3,Massively increases the power of Thunder attacks and Thunder shots (Thunder S).,Erhöht die Kraft von Donner- angriffen und Donnerschüssen (Donner S) sehr stark.,Augmente massivement la puissance des attaques de foudre et munitions de foudre.,Aumenta muchísimo la potencia de ataques de rayo y disparos de rayo.,Aumenta nettamente la potenza degli attacchi tuono e dei proiettili tuono (P tuono).,雷属性の攻撃が1.15倍+90になる
161,81,15,Thunder Atk +2,Donnerangriff +2,Attaque Foudre +2,Ataque rayo +2,Att. tuono +2,雷属性攻撃強化+2,Greatly increases the power of Thunder attacks and Thunder shots (Thunder S).,Erhöht die Kraft von Donner- angriffen und Donnerschüssen (Donner S) stark.,Augmente beaucoup la puissance des attaques de foudre et munitions de foudre.,Aumenta mucho la potencia de ataques de rayo y disparos de rayo.,Aumenta molto la potenza degli attacchi tuono e dei proiettili tuono (P tuono).,雷属性の攻撃が1.1倍+60になる
162,81,10,Thunder Atk +1,Donnerangriff +1,Attaque Foudre +1,Ataque rayo +1,Att. tuono +1,雷属性攻撃強化+1,Increases the power of Thunder attacks and Thunder shots (Thunder S).,Erhöht die Kraft von Donner- angriffen und Donnerschüssen (Donner S).,Augmente la puissance des attaques de foudre et munitions de foudre.,Aumenta la potencia de ataques de rayo y disparos de rayo.,Aumenta la potenza degli attacchi tuono e dei proiettili tuono (P tuono).,雷属性の攻撃が1.05倍+40になる
163,81,-10,Thunder Atk Down,Donneran. runter,Attaque Foudre -,Ataque rayo -1,Att. tuono -1,雷属性攻撃弱化,Decreases the power of Thunder attacks and Thunder shots (Thunder S).,Verringert die Kraft von Donner- angriffen und Donnerschüssen (Donner S).,Diminue la puissance des attaques de foudre et munitions de foudre.,Reduce la potencia de ataques de rayo y disparos de rayo.,Riduce la potenza degli attacchi tuono e dei proiettili tuono (P tuono).,雷属性の攻撃が0.75倍になる
164,82,20,Ice Atk +3,Eisangriff +3,Attaque Glace +3,Ataque hielo +3,Att. ghiaccio +3,氷属性攻撃強化+3,Massively increases the power of Ice attacks and Freeze shots (Freeze S).,Erhöht die Kraft von Eis- angriffen und Frostschüssen (Frost S) sehr stark.,Augmente massivement la puissance des attaques de glace et munitions de glace.,Aumenta muchísimo la potencia de ataques de hielo y disparos congeladores.,Aumenta nettamente la potenza degli attacchi ghiaccio e dei proiettili gelo (P gelo).,氷属性の攻撃が1.15倍+90になる
165,82,15,Ice Atk +2,Eisangriff +2,Attaque Glace +2,Ataque hielo +2,Att. ghiaccio +2,氷属性攻撃強化+2,Greatly increases the power of Ice attacks and Freeze shots (Freeze S).,Erhöht die Kraft von Eis- angriffen und Frostschüssen (Frost S) stark.,Augmente beaucoup la puissance des attaques de glace et munitions de glace.,Aumenta mucho la potencia de ataques de hielo y disparos congelantes.,Aumenta molto la potenza degli attacchi ghiaccio e dei proiettili gelo (P gelo).,氷属性の攻撃が1.1倍+60になる
166,82,10,Ice Atk +1,Eisangriff +1,Attaque Glace +1,Ataque hielo +1,Att. ghiaccio +1,氷属性攻撃強化+1,Increases the power of Ice attacks and Freeze shots (Freeze S).,Erhöht die Kraft von Eis- angriffen und Frostschüssen (Frost S).,Augmente la puissance des attaques de glace et munitions de glace.,Aumenta la potencia de ataques de hielo y disparos congelantes.,Aumenta la potenza degli attacchi ghiaccio e dei proiettili gelo (P gelo).,氷属性の攻撃が1.05倍+40になる
167,82,-10,Ice Atk Down,Eisangr. runter,Attaque Glace -,Ataque hielo -1,Att. ghiaccio -1,氷属性攻撃弱化,Decreases the power of Ice attacks and Freeze shots (Freeze S).,Verringert die Kraft von Eis- angriffen und Frostschüssen (Frost S).,Diminue la puissance des attaques de glace et munitions de glace.,Reduce la potencia de ataques de hielo y disparos congelantes.,Riduce la potenza degli attacchi ghiaccio e dei proiettili gelo (P gelo).,氷属性の攻撃が0.75倍になる
168,83,20,Dragon Atk +3,Drachenangr. +3,Attaque Dragon +3,Ataque draco +3,Att. drago +3,龍属性攻撃強化+3,Massively increases the power of Dragon attacks and Dragon shots (Dragon S).,Erhöht die Kraft von Drachen- angriffen und Drachenschüssen (Drachen S) sehr stark.,Augmente massivement la puissance des attaques de dragon et munitions anti-dragon.,Aumenta muchísimo la potencia de ataques de draco y disparos de draco.,Aumenta nettamente la potenza degli attacchi drago e dei proiettili drago (P drago).,龍属性の攻撃が1.15倍+90になる
169,83,15,Dragon Atk +2,Drachenangr. +2,Attaque Dragon +2,Ataque draco +2,Att. drago +2,龍属性攻撃強化+2,Greatly increases the power of Dragon attacks and Dragon shots (Dragon S).,Erhöht die Kraft von Drachen- angriffen und Drachenschüssen (Drachen S) stark.,Augmente beaucoup la puissance des attaques de dragon et munitions anti-dragon.,Aumenta mucho la potencia de ataques de draco y disparos de draco.,Aumenta molto la potenza degli attacchi drago e dei proiettili drago (P drago).,龍属性の攻撃が1.1倍+60になる
170,83,10,Dragon Atk +1,Drachenangr. +1,Attaque Dragon +1,Ataque draco +1,Att. drago +1,龍属性攻撃強化+1,Increases the power of Dragon attacks and Dragon shots (Dragon S).,Erhöht die Kraft von Drachen- angriffen und Drachenschüssen (Drachen S).,Augmente la puissance des attaques de dragon et munitions anti-dragon.,Aumenta la potencia de ataques de draco y disparos de draco.,Aumenta la potenza degli attacchi drago e dei proiettili drago (P drago).,龍属性の攻撃が1.05倍+40になる
171,83,-10,Dragon Atk Down,Drachenang runt.,Attaque Dragon -,Ataque draco -1,Att. drago -1,龍属性攻撃弱化,Decreases the power of Dragon attacks and Dragon shots (Dragon S).,Verringert die Kraft von Dra- chenangriffen und Drachen- schüssen (Drachen S).,Diminue la puissance des attaques de dragon et munitions anti-dragon.,Reduce la potencia de ataques de draco y disparos de draco.,Riduce la potenza degli attacchi drago e dei proiettili drago (P drago).,龍属性の攻撃が0.75倍になる
172,84,10,Element Atk Up,Elementang. hoch,Élémentaire +,Elemental +1,Att. elementale +,属性攻撃強化,Increases the power of elemental attacks.,Erhöht die Kraft von Elementangriffen.,Augmente la puissance des attaques élémentaires.,Aumenta la potencia de ataques elementales.,Aumenta la forza degli attacchi elementali.,火、水、雷、氷、龍の属性値が1.1倍になる。
173,84,-10,Element Atk Down,Elementa. runter,Élémentaire -,Elemental -1,Att. elementale -,属性攻撃弱化,Decreases the power of elemental attacks.,Verringert die Kraft von Elementangriffen.,Réduit la puissance des attaques élémentaires.,Reduce la potencia de ataques elementales.,Riduce la forza degli attacchi elementali.,火、水、雷、氷、龍の属性値が0.9倍になる
174,85,15,Fire Res +20,Feuerabwehr +20,Feu +20,Resist. fuego +20,Fuoco +20,火耐性【大】,Increases Fire resistance by 20.,Erhöht Feuerabwehr um 20.,Augmente la résistance au feu de 20.,Aumenta la resistencia al fuego en 20.,Aumenta la resistenza al fuoco di 20 punti.,火耐性+20。合計耐性が20以上で火属性やられ小と大を無効化
175,85,10,Fire Res +15,Feuerabwehr +15,Feu +15,Resist. fuego +15,Fuoco +15,火耐性【小】,Increases Fire resistance by 15.,Erhöht Feuerabwehr um 15.,Augmente la résistance au feu de 15.,Aumenta la resistencia al fuego en 15.,Aumenta la resistenza al fuoco di 15 punti.,火耐性+15。合計耐性が10以上で火属性やられ小を無効化
176,85,-10,Fire Res -20,Feuerabwehr -20,Feu -20,Resist. fuego -20,Fuoco -20,火耐性弱化,Decreases Fire resistance by 20.,Verringert Feuerabwehr um 20.,Diminue la résistance au feu de 20.,Reduce la resistencia al fuego en 20.,Riduce la resistenza al fuoco di 20 punti.,火耐性-20
177,86,15,Water Res +20,Wasserabwehr +20,Eau +20,Resist. agua +20,Acqua +20,水耐性【大】,Increases Water resistance by 20.,Erhöht Wasserabwehr um 20.,Augmente la résistance à l'eau de 20.,Aumenta la resistencia al agua en 20.,Aumenta la resistenza all'acqua di 20 punti.,水耐性+20。合計耐性が20以上で水属性やられ小と大を無効化
178,86,10,Water Res +15,Wasserabwehr +15,Eau +15,Resist. agua +15,Acqua +15,水耐性【小】,Increases Water resistance by 15.,Erhöht Wasserabwehr um 15.,Augmente la résistance à l'eau de 15.,Aumenta la resistencia al agua en 15.,Aumenta la resistenza all'acqua di 15 punti.,水耐性+15。合計耐性が10以上で水属性やられ小を無効化
179,86,-10,Water Res -20,Wasserabwehr -20,Eau -20,Resist. agua -20,Acqua -20,水耐性弱化,Decreases Water resistance by 20.,Verringert Wasserabwehr um 20.,Diminue la résistance à l'eau de 20.,Reduce la resistencia al agua en 20.,Riduce la resistenza all'acqua di 20 punti.,水耐性-20
180,87,15,Thunder Res +20,Donnerabwehr +20,Foudre +20,Resist. rayo +20,Tuono +20,雷耐性【大】,Increases Thunder resistance by 20.,Erhöht Donnerabwehr um 20.,Augmente la résistance à la foudre de 20.,Aumenta la resistencia al rayo en 20.,Aumenta la resistenza al tuono di 20 punti.,雷耐性+20。合計耐性が20以上で雷属性やられ小と大を無効化
181,87,10,Thunder Res +15,Donnerabwehr +15,Foudre +15,Resist. rayo +15,Tuono +15,雷耐性【小】,Increases Thunder resistance by 15.,Erhöht Donnerabwehr um 15.,Augmente la résistance à la foudre de 15.,Aumenta la resistencia al rayo en 15.,Aumenta la resistenza al tuono di 15 punti.,雷耐性+15。合計耐性が10以上で雷属性やられ小を無効化
182,87,-10,Thunder Res -20,Donnerabwehr -20,Foudre -20,Resist. rayo -20,Tuono -20,雷耐性弱化,Decreases Thunder resistance by 20.,Verringert Donnerabwehr um 20.,Diminue la résistance à la foudre de 20.,Reduce la resistencia al rayo en 20.,Riduce la resistenza al tuono di 20 punti.,雷耐性-20
183,88,15,Ice Res +20,Eisabwehr +20,Glace +20,Resist. hielo +20,Ghiaccio +20,氷耐性【大】,Increases Ice resistance by 20.,Erhöht Eisabwehr um 20.,Augmente la résistance à la glace de 20.,Aumenta la resistencia al hielo en 20.,Aumenta la resistenza al ghiaccio di 20 punti.,氷耐性+20。合計耐性が20以上で氷属性やられ小と大を無効化
184,88,10,Ice Res +15,Eisabwehr +15,Glace +15,Resist. hielo +15,Ghiaccio +15,氷耐性【小】,Increases Ice resistance by 15.,Erhöht Eisabwehr um 15.,Augmente la résistance à la glace de 15.,Aumenta la resistencia al hielo en 15.,Aumenta la resistenza al ghiaccio di 15 punti.,氷耐性+15。合計耐性が10以上で氷属性やられ小を無効化
185,88,-10,Ice Res -20,Eisabwehr -20,Glace -20,Resist. hielo -20,Ghiaccio -20,氷耐性弱化,Decreases Ice resistance by 20.,Verringert Eisabwehr um 20.,Diminue la résistance à la glace de 20.,Reduce la resistencia al hielo en 20.,Riduce la resistenza al ghiaccio di 20 punti.,氷耐性-20
186,89,15,Dragon Res +20,Drachenabw. +20,Dragon +20,Resist. draco +20,Drago +20,龍耐性【大】,Increases Dragon resistance by 20.,Erhöht Drachenabwehr um 20.,Augmente la résistance au dragon de 20.,Aumenta la resistencia al draco en 20.,Aumenta la resistenza ai draghi di 20 punti.,龍耐性+20。合計耐性が20以上で龍属性やられ小と大を無効化
187,89,10,Dragon Res +15,Drachenabw. +15,Dragon +15,Resist. draco +15,Drago +15,龍耐性【小】,Increases Dragon resistance by 15.,Erhöht Drachenabwehr um 15.,Augmente la résistance au dragon de 15.,Aumenta la resistencia al draco en 15.,Aumenta la resistenza ai draghi di 15 punti.,龍耐性+15。合計耐性が10以上で龍属性やられ小を無効化
188,89,-10,Dragon Res -20,Drachenabw. -20,Dragon -20,Resist. draco -20,Drago -20,龍耐性弱化,Decreases Dragon resistance by 20.,Verringert Drachenabwehr um 20.,Diminue la résistance au dragon de 20.,Reduce la resistencia al draco en 20.,Riduce la resistenza ai draghi di 20 punti.,龍耐性-20
189,90,10,Speed Gatherer,Schnellsammler,Chapardeur,Veloc. recogida,Contadino,高速収集,"Increases carving, gathering, bug catching, and mining speed.","Beschleunigt Zerlegen, Sammeln, Insektenfangen und Abbauen.","Augmente la vitesse de dépeçage, collecte, ramassage d'insectes et minage.","Aumenta la velocidad de cortar, recoger, coger insectos y extraer.","Aumenta la velocità di ricavo, raccolta, raccolta insetti ed estrazione.",剥ぎ取り、採取、虫取り、採掘の動作が速くなる
190,91,15,Autotracker,Auto-Aufspürer,Psychique,Autorrastreador,Autotracciamento,自動マーキング,"Always displays large monsters on the Map, as if they were marked.","Zeigt immer große Monster auf der Karte an, als ob sie markiert wären.","Affiche toujours les grands monstres sur la carte, comme s'ils étaient marqués.","Siempre muestra monstruos grandes en el mapa, como si estuvieran marcados.","Visualizza sempre i mostri grandi sulla mappa, come se fossero segnati.",常に中型、大型モンスターの位置と向きと攻撃状態が表示される
191,91,10,Detect,Aufspüren,Détection,Detectar,Individua,探知,Increases the information displayed on the Map when large monsters are marked.,"Zeigt mehr Informationen auf der Karte, wenn große Monster markiert sind.",Augmente les infos affichées sur la carte quand de grands monstres sont marqués.,Aumenta la información en el mapa cuando hay monstruos grandes marcados.,Aumenta le informazioni mostrate sulla mappa quando segni mostri grandi.,ペイント時に中型、大型モンスターの位置と向きと攻撃状態が表示される。また、ペイントしてない時でも一定の確率で同様の効果が得られる
192,92,10,Capture Guru,Fang-Guru,Gourou,Gurú de captura,Guru cattura,捕獲の見極め,Grants knowledge of when a large marked monster can be captured.,"Zeigt an, wann ein großes markiertes Monster gefangen werden kann.",Indique quand un grand monstre marqué peut être capturé.,Te permite conocer cuándo se puede capturar a un monstruo grande que hayas marcado.,Ti permette di sapere quando puoi catturare un mostro grande segnato.,ペイントした時に捕獲できるタイミングでアイコンが白く点滅する
193,93,10,Recovery Up,Erholung hoch,Restauration +,Curación +1,Medicina +,体力回復量UP,Increases the efficacy of Health recovery items.,Erhöht die Wirkung von Objekten zur Gesundheitserholung.,Augmente l'efficacité des objets permettant de récupérer de la vie.,Aumenta la eficacia de los objetos que otorgan salud.,Aumenta l'efficacia degli oggetti per il ripristino della vita.,体力回復アイテムの回復量が1.25倍に増える
