_id,name,name_de,name_fr,name_es,name_it,name_jp,type,sub_type,rarity,carry_capacity,buy,sell,description,icon_name,armor_dupe_name_fix
2602,Hermitaur Vest,Hermitaur-Weste,Tunique Hermitaur,Chaleco de Hermitaur,Pettorina Hermitaur,ザザミレジスト,Armor,Body,4,0,7500,,,,
2603,Hermitaur Guards,Hermitaur-Armschutz,Gardes Hermitaur,Guardabr. Hermitaur,Protezioni Hermitaur,ザザミガード,Armor,Arms,4,0,7500,,,,
2604,Hermitaur Coat,Hermitaur-Waffenrock,Taille Hermitaur,Cota de Hermitaur,Fiancale Hermitaur,ザザミコート,Armor,Waist,4,0,7500,,,,
2605,Hermitaur Leggings,Hermitaur-Gamaschen,Cuissard Hermitaur,Calzas de Hermitaur,Gambali Hermitaur,ザザミレギンス,Armor,Legs,4,0,7500,,,,
2606,Qurupeco Helm,Qurupeco-Helm,Heaume Qurupeco,Casco de Qurupeco,Elmo Qurupeco,ペッコヘルム,Armor,Head,4,0,8200,,,,
2607,Qurupeco Mail,Qurupeco-Panzer,Cotte Qurupeco,Malla de Qurupeco,Cotta Qurupeco,ペッコメイル,Armor,Body,4,0,8200,,,,
2608,Qurupeco Vambraces,Qurupeco-Armschienen,Avant-bras Qurupeco,Brazales de Qurupeco,Parabraccia Qurupeco,ペッコアーム,Armor,Arms,4,0,8200,,,,
2609,Qurupeco Coil,Qurupeco-Hüftring,Boucle Qurupeco,Faja de Qurupeco,Spira Qurupeco,ペッココイル,Armor,Waist,4,0,8200,,,,
2610,Qurupeco Greaves,QurupecoBeinschienen,Grèves Qurupeco,Grebas de Qurupeco,Schinieri Qurupeco,ペッコグリーヴ,Armor,Legs,4,0,8200,,,,
2611,Qurupeco Cap,Qurupeco-Kappe,Calot Qurupeco,Gorro de Qurupeco,Cappello Qurupeco,ペッコキャップ,Armor,Head,4,0,8200,,,,
2612,Qurupeco Vest,Qurupeco-Weste,Tunique Qurupeco,Chaleco de Qurupeco,Pettorina Qurupeco,ペッコレジスト,Armor,Body,4,0,8200,,,,
2613,Qurupeco Guards,Qurupeco-Armschutz,Gardes Qurupeco,Guardabr. Qurupeco,Protezioni Qurupeco,ペッコガード,Armor,Arms,4,0,8200,,,,
2614,Qurupeco Coat,Qurupeco-Waffenrock,Taille Qurupeco,Cota de Qurupeco,Fiancale Qurupeco,ペッココート,Armor,Waist,4,0,8200,,,,
2615,Qurupeco Leggings,Qurupeco-Gamaschen,Cuissard Qurupeco,Calzas de Qurupeco,Gambali Qurupeco,ペッコレギンス,Armor,Legs,4,0,8200,,,,
2616,Plesioth Helm,Plesioth-Helm,Heaume Plesioth,Casco de Plesioth,Elmo Plesioth,ガノスヘルム,Armor,Head,4,0,2900,,,,
2617,Plesioth Mail,Plesioth-Panzer,Cotte Plesioth,Malla de Plesioth,Cotta Plesioth,ガノスメイル,Armor,Body,4,0,2900,,,,
2618,Plesioth Vambraces,Plesioth-Armschienen,Avant-bras Plesioth,Brazales Plesioth,Parabraccia Plesioth,ガノスアーム,Armor,Arms,4,0,2900,,,,
2619,Plesioth Greaves,PlesiothBeinschienen,Grèves Plesioth,Grebas de Plesioth,Schinieri Plesioth,ガノスグリーヴ,Armor,Legs,4,0,2900,,,,
2620,Plesioth Cap,Plesioth-Kappe,Calot Plesioth,Gorro de Plesioth,Cappello Plesioth,ガノスキャップ,Armor,Head,4,0,2900,,,,
2621,Plesioth Vest,Plesioth-Weste,Tunique Plesioth,Chaleco de Plesioth,Pettorina Plesioth,ガノスレジスト,Armor,Body,4,0,2900,,,,
2622,Plesioth Guards,Plesioth-Armschutz,Gardes Plesioth,Guardabraz. Plesioth,Protezioni Plesioth,ガノスガード,Armor,Arms,4,0,2900,,,,
2623,Plesioth Leggings,Plesioth-Gamaschen,Cuissard Plesioth,Calzas de Plesioth,Gambali Plesioth,ガノスレギンス,Armor,Legs,4,0,2900,,,,
2624,Leather Helm S,Leder-Helm S,Heaume en cuir S,Casco de cuero S,Elmo di cuoio S,レザーＳヘルム,Armor,Head,4,0,2700,,,,
2625,Leather Mail S,Leder-Panzer S,Cotte en cuir S,Malla de cuero S,Cotta di cuoio S,レザーＳメイル,Armor,Body,4,0,2700,,,,
2626,Leather Vambraces S,Leder-Armschienen S,Avant-bras en cuir S,Brazales de cuero S,Parabr. di cuoio S,レザーＳアーム,Armor,Arms,4,0,2700,,,,
2627,Leather Faulds S,Leder-Beinzeug S,Tassette en cuir S,Muslera de cuero S,Falda di cuoio S,レザーＳフォールド,Armor,Waist,4,0,2700,,,,
2628,Leather Greaves S,Leder-Beinschienen S,Grèves en cuir S,Grebas de cuero S,Schinieri di cuoio S,レザーＳグリーヴ,Armor,Legs,4,0,2700,,,,
2629,Leather Cap S,Leder-Kappe S,Calot en cuir S,Gorro de cuero S,Cappello di cuoio S,レザーＳキャップ,Armor,Head,4,0,2700,,,,
2630,Leather Vest S,Leder-Weste S,Tunique en cuir S,Chaleco de cuero S,Pettorina di cuoio S,レザーＳレジスト,Armor,Body,4,0,2700,,,,
2631,Leather Guards S,Leder-Armschutz S,Gardes en cuir S,Guardabrazos cuero S,Protez. di cuoio S,レザーＳガード,Armor,Arms,4,0,2700,,,,
2632,Leather Coat S,Leder-Waffenrock S,Taille en cuir S,Cota de cuero S,Fiancale di cuoio S,レザーＳコート,Armor,Waist,4,0,2700,,,,
2633,Leather Leggings S,Leder-Gamaschen S,Cuissard en cuir S,Calzas de cuero S,Gambali di cuoio S,レザーＳレギンス,Armor,Legs,4,0,2700,,,,
2634,Derring Helm S,Wagemut-Helm S,Heaume de bravoure S,Casco valeroso S,Elmo ardito S,ブレイブＳヘルム,Armor,Head,4,0,2700,,,,
2635,Derring Mail S,Wagemut-Panzer S,Cotte de bravoure S,Malla valerosa S,Cotta ardita S,ブレイブＳメイル,Armor,Body,4,0,2700,,,,
2636,Derring Vambraces S,WagemutArmschienen S,Avant-bras bravoure S,Brazales valerosos S,Parabraccia arditi S,ブレイブＳアーム,Armor,Arms,4,0,2700,,,,
2637,Derring Faulds S,Wagemut-Beinzeug S,Tassette bravoure S,Muslera valerosa S,Falda ardita S,ブレイブＳフォールド,Armor,Waist,4,0,2700,,,,
2638,Derring Greaves S,WagemutBeinschienenS,Grèves de bravoure S,Grebas valerosas S,Schinieri arditi S,ブレイブＳグリーヴ,Armor,Legs,4,0,2700,,,,
2639,Derring Cap S,Wagemut-Kappe S,Calot de bravoure S,Gorro valeroso S,Cappello ardito S,ブレイブＳキャップ,Armor,Head,4,0,2700,,,,
2640,Derring Vest S,Wagemut-Weste S,Tunique bravoure S,Chaleco valeroso S,Pettorina ardita S,ブレイブＳレジスト,Armor,Body,4,0,2700,,,,
2641,Derring Guards S,Wagemut-Armschutz S,Gardes de bravoure S,Guardab. valerosos S,Protezioni ardite S,ブレイブＳガード,Armor,Arms,4,0,2700,,,,
2642,Derring Coat S,Wagemut-Waffenrock S,Taille de bravoure S,Cota valerosa S,Fiancale ardito S,ブレイブＳコート,Armor,Waist,4,0,2700,,,,
2643,Derring Leggings S,Wagemut-Gamaschen S,Cuissard bravoure S,Calzas valerosas S,Gambali arditi S,ブレイブＳレギンス,Armor,Legs,4,0,2700,,,,
2644,Chainmail Helm S,Ketten-Helm S,Heaume en maille S,Casco de malla S,Elmo di cotta S,チェーンＳヘルム,Armor,Head,4,0,5800,,,,
2645,Chainmail Armor S,Ketten-Rüstung S,Cotte de mailles S,Armadura de malla S,Armatura di cotta S,チェーンＳメイル,Armor,Body,4,0,5800,,,,
2646,Chainmail Braces S,Ketten-Armschienen S,Avant-bras en maille S,Brazales de malla S,Parabr. di cotta S,チェーンＳアーム,Armor,Arms,4,0,5800,,,,
2647,Chainmail Faulds S,Ketten-Beinzeug S,Tassette maille S,Muslera de malla S,Falda di cotta S,チェーンＳフォールド,Armor,Waist,4,0,5800,,,,
2648,Chainmail Greaves S,KettenBeinschienen S,Grèves en maille S,Grebas de malla S,Schinieri di cotta S,チェーンＳグリーヴ,Armor,Legs,4,0,5800,,,,
2649,Chainmail Cap S,Ketten-Kappe S,Calot en maille S,Gorro de malla S,Cappello di cotta S,チェーンＳキャップ,Armor,Head,4,0,5800,,,,
2650,Chainmail Vest S,Ketten-Weste S,Tunique de mailles S,Chaleco de malla S,Pettorina di cotta S,チェーンＳレジスト,Armor,Body,4,0,5800,,,,
2651,Chainmail Guards S,Ketten-Armschutz S,Gardes en maille S,Guardabrazos malla S,Protez. di cotta S,チェーンＳガード,Armor,Arms,4,0,5800,,,,
2652,Chainmail Coat S,Ketten-Waffenrock S,Taille en maille S,Cota de malla S,Fiancale di cotta S,チェーンＳコート,Armor,Waist,4,0,5800,,,,
2653,Chainmail Leggings S,Ketten-Gamaschen S,Cuissard en maille S,Calzas de malla S,Gambali di cotta S,チェーンＳレギンス,Armor,Legs,4,0,5800,,,,
2654,Hunter's Helm S,Jäger-Helm S,Heaume de chasseur S,Casco de cazador S,Elmo cacciatore S,ハンターＳヘルム,Armor,Head,4,0,6000,,,,
2655,Hunter's Mail S,Jäger-Panzer S,Cotte de chasseur S,Malla de cazador S,Cotta cacciatore S,ハンターＳメイル,Armor,Body,4,0,6000,,,,
2656,Hunter's Vambraces S,Jäger-Armschienen S,Avt-bras chasseur S,Brazales de cazador S,Parabr. cacciatore S,ハンターＳアーム,Armor,Arms,4,0,6000,,,,
2657,Hunter's Faulds S,Jäger-Beinzeug S,Tassette chasseur S,Muslera de cazador S,Falda cacciatore S,ハンターＳフォールド,Armor,Waist,4,0,6000,,,,
2658,Hunter's Greaves S,Jäger-Beinschienen S,Grèves de chasseur S,Grebas de cazador S,Schin. cacciatore S,ハンターＳグリーヴ,Armor,Legs,4,0,6000,,,,
2659,Hunter's Cap S,Jäger-Kappe S,Calot de chasseur S,Gorro de cazador S,Capp. cacciatore S,ハンターＳキャップ,Armor,Head,4,0,6000,,,,
2660,Hunter's Vest S,Jäger-Weste S,Tunique chasseur S,Chaleco de cazador S,Pettor. cacciatore S,ハンターＳレジスト,Armor,Body,4,0,6000,,,,
2661,Hunter's Guards S,Jäger-Armschutz S,Gardes de chasseur S,Guardabr. cazador S,Protez. cacciatore S,ハンターＳガード,Armor,Arms,4,0,6000,,,,
2662,Hunter's Coat S,Jäger-Waffenrock S,Taille de chasseur S,Cota de cazador S,Fianc. cacciatore S,ハンターＳコート,Armor,Waist,4,0,6000,,,,
2663,Hunter's Leggings S,Jäger-Gamaschen S,Cuissard chasseur S,Calzas de cazador S,Gambali cacciatore S,ハンターＳレギンス,Armor,Legs,4,0,6000,,,,
2664,Bone Helm S,Knochen-Helm S,Heaume d'os S,Casco de hueso S,Elmo d'osso S,ボーンＳヘルム,Armor,Head,4,0,6200,,,,
2665,Bone Mail S,Knochen-Panzer S,Cotte d'os S,Malla de hueso S,Cotta d'osso S,ボーンＳメイル,Armor,Body,4,0,6200,,,,
2666,Bone Vambraces S,KnochenArmschienen S,Avant-bras d'os S,Brazales de hueso S,Parabraccia d'osso S,ボーンＳアーム,Armor,Arms,4,0,6200,,,,
2667,Bone Faulds S,Knochen-Beinzeug S,Tassette d'os S,Muslera de hueso S,Falda d'osso S,ボーンＳフォールド,Armor,Waist,4,0,6200,,,,
2668,Bone Greaves S,KnochenBeinschienenS,Grèves d'os S,Grebas de hueso S,Schinieri d'osso S,ボーンＳグリーヴ,Armor,Legs,4,0,6200,,,,
2669,Bone Cap S,Knochen-Kappe S,Calot d'os S,Gorro de hueso S,Cappello d'osso S,ボーンＳキャップ,Armor,Head,4,0,6200,,,,
2670,Bone Vest S,Knochen-Weste S,Tunique d'os S,Chaleco de hueso S,Pettorina d'osso S,ボーンＳレジスト,Armor,Body,4,0,6200,,,,
2671,Bone Guards S,Knochen-Armschutz S,Gardes d'os S,Guardabrazos hueso S,Protezioni d'osso S,ボーンＳガード,Armor,Arms,4,0,6200,,,,
2672,Bone Coat S,Knochen-Waffenrock S,Taille d'os S,Cota de hueso S,Fiancale d'osso S,ボーンＳコート,Armor,Waist,4,0,6200,,,,
2673,Bone Leggings S,Knochen-Gamaschen S,Cuissard d'os S,Calzas de hueso S,Gambali d'osso S,ボーンＳレギンス,Armor,Legs,4,0,6200,,,,
2674,Alloy Helm S,Legierungs-Helm S,Heaume en alliage S,Casco de aleación S,Elmo in lega S,アロイＳヘルム,Armor,Head,4,0,6400,,,,
2675,Alloy Mail S,Legierungs-Panzer S,Cotte en alliage S,Malla de aleación S,Cotta in lega S,アロイＳメイル,Armor,Body,4,0,6400,,,,
2676,Alloy Vambraces S,LegierungsArmschienS,Avant-bras alliage S,Brazales aleación S,Parabr. in lega S,アロイＳアーム,Armor,Arms,4,0,6400,,,,
2677,Alloy Coil S,LegierungsHüftring S,Boucle alliage S,Faja de aleación S,Spira in lega S,アロイＳコイル,Armor,Waist,4,0,6400,,,,
2678,Alloy Greaves S,LegierungsBeinschinS,Grèves en alliage S,Grebas de aleación S,Schinieri in lega S,アロイＳグリーヴ,Armor,Legs,4,0,6400,,,,
2679,Alloy Cap S,Legierungs-Kappe S,Calot en alliage S,Gorro de aleación S,Cappello in lega S,アロイＳキャップ,Armor,Head,4,0,6400,,,,
2680,Alloy Vest S,Legierungs-Weste S,Tunique en alliage S,Chaleco aleación S,Pettorina in lega S,アロイＳレジスト,Armor,Body,4,0,6400,,,,
2681,Alloy Guards S,LegierungsArmschutzS,Gardes en alliage S,Guardabr. aleación S,Protezioni in lega S,アロイＳガード,Armor,Arms,4,0,6400,,,,
2682,Alloy Coat S,LegierungsWaffenrckS,Taille alliage S,Cota de aleación S,Fiancale in lega S,アロイＳコート,Armor,Waist,4,0,6400,,,,
2683,Alloy Leggings S,LegierungsGamaschenS,Cuissard alliage S,Calzas de aleación S,Gambali in lega S,アロイＳレギンス,Armor,Legs,4,0,6400,,,,
2684,Chrome Metal Coil,Chrom-Hüftring,Boucle Chrome,Faja metal cromado,Spira cromata,クロムメタルコイル,Armor,Waist,4,0,7800,,,,
2685,Chrome Metal Boots,Chrom-Stiefel,Bottes Chrome,Botas metal cromado,Stivali cromati,クロムメタルブーツ,Armor,Legs,4,0,7800,,,,
2686,Chrome Metal Coat,Chrom-Waffenrock,Taille Chrome,Cota metal cromado,Fiancale cromato,クロムメタルコート,Armor,Waist,4,0,7800,,,,
2687,Chrome Metal Feet,Chrom-Füße,Chaussures Chrome,Pezuñ. metal cromado,Piedi cromati,クロムメタルフット,Armor,Legs,4,0,7800,,,,
2688,Mosgharl Vizor,Mosgharl-Visier,Visière Mosgharl,Visera de Mosgharl,Visiera Mosgharl,マギュルフロール,Armor,Head,4,0,2750,,,,
2689,Mosgharl Ribplate,MosgharlRippenplatte,Corset Mosgharl,Armazón de Mosgharl,Gabbia tor. Mosgharl,マギュルトロンコ,Armor,Body,4,0,2750,,,,
2690,Mosgharl Creeper,Mosgharl-Rankgewächs,Tige Mosgharl,Enredo de Mosgharl,Rampicanti Mosgharl,マギュルラーマ,Armor,Arms,4,0,2750,,,,
2691,Mosgharl Folia,Mosgharl-Blatt,Feuilles Mosgharl,Hoja de Mosgharl,Foglie Mosgharl,マギュルオッハ,Armor,Waist,4,0,2750,,,,
2692,Mosgharl Roots,Mosgharl-Wurzeln,Racines Mosgharl,Raíz de Mosgharl,Radici Mosgharl,マギュルライース,Armor,Legs,4,0,2750,,,,
2693,Mosgharl Brim,Mosgharl-Krempe,Voile Mosgharl,Ala de Mosgharl,Tesa Mosgharl,マギュルブルーメ,Armor,Head,4,0,2750,,,,
2694,Mosgharl Ribguard,MosgharlRippenschutz,Pansière Mosgharl,Coraza de Mosgharl,Corazza Mosgharl,マギュルシュタム,Armor,Body,4,0,2750,,,,
2695,Mosgharl Tendril,Mosgharl-Ranke,Vrille Mosgharl,Zarcillo de Mosgharl,Viticci Mosgharl,マギュルアスト,Armor,Arms,4,0,2750,,,,
2696,Mosgharl Fronds,Mosgharl-Wedel,Frondes Mosgharl,Fronda de Mosgharl,Fronde Mosgharl,マギュルブラット,Armor,Waist,4,0,2750,,,,
2697,Mosgharl Radicles,Mosgharl-Keimwurzeln,Radicule Mosgharl,Semilla de Mosgharl,Germogli Mosgharl,マギュルヴルツェル,Armor,Legs,4,0,2750,,,,
2698,Aelucanth Vertex,Aelucanth-Vertex,Vertex Aelucanth,Vértice de Aelucanth,Zenith Aelucanth,ロワーガテスタ,Armor,Head,4,0,2600,,,,
2699,Aelucanth Thorax,Aelucanth-Thorax,Thorax Aelucanth,Tórax de Aelucanth,Torace Aelucanth,ロワーガペット,Armor,Body,4,0,2600,,,,
2700,Aelucanth Brachia,Aelucanth-Brachia,Brachia Aelucanth,Ristre de Aelucanth,Aroli Aelucanth,ロワーガマーノ,Armor,Arms,4,0,2600,,,,
2701,Aelucanth Elytra,Aelucanth-Elytren,Élytre Aelucanth,Élitro de Aelucanth,Elitre Aelucanth,ロワーガアンカ,Armor,Waist,4,0,2600,,,,
2702,Aelucanth Crura,Aelucanth-Schenkel,Jambes Aelucanth,Espinil. Aelucanth,Jambe Aelucanth,ロワーガガンバ,Armor,Legs,4,0,2600,,,,
2703,Aelucanth Clypeus,Aelucanth-Clypeus,Clypeus Aelucanth,Clípeo de Aelucanth,Clipeo Aelucanth,ロワーガカプト,Armor,Head,4,0,2600,,,,
2704,Aelucanth Pleuron,Aelucanth-Pleuron,Pleuron Aelucanth,Pleura de Aelucanth,Pleura Aelucanth,ロワーガペクトス,Armor,Body,4,0,2600,,,,
2705,Aelucanth Manus,Aelucanth-Manus,Manus Aelucanth,Manica de Aelucanth,Empodi Aelucanth,ロワーガブラッソ,Armor,Arms,4,0,2600,,,,
2706,Aelucanth Alae,Aelucanth-Schwingen,Ailes Aelucanth,Ala de Aelucanth,Ali Aelucanth,ロワーガコクサ,Armor,Waist,4,0,2600,,,,
2707,Aelucanth Tarsi,Aelucanth-Tarsi,Pattes Aelucanth,Escarpe de Aelucanth,Femur Aelucanth,ロワーガフェムル,Armor,Legs,4,0,2600,,,,
2708,Rhopessa Vertex,Rhopessa-Vertex,Vertex Rhopessa,Vértice de Rhopessa,Zenith Rhopessa,ファルメルテスタ,Armor,Head,4,0,2600,,,,
2709,Rhopessa Thorax,Rhopessa-Thorax,Thorax Rhopessa,Tórax de Rhopessa,Torace Rhopessa,ファルメルペット,Armor,Body,4,0,2600,,,,
2710,Rhopessa Brachia,Rhopessa-Brachia,Brachia Rhopessa,Ristre de Rhopessa,Aroli Rhopessa,ファルメルマーノ,Armor,Arms,4,0,2600,,,,
2711,Rhopessa Elytra,Rhopessa-Elytren,Élytre Rhopessa,Élitro de Rhopessa,Elitre Rhopessa,ファルメルアンカ,Armor,Waist,4,0,2600,,,,
2712,Rhopessa Crura,Rhopessa-Schenkel,Jambes Rhopessa,Espinillera Rhopessa,Jambe Rhopessa,ファルメルガンバ,Armor,Legs,4,0,2600,,,,
2713,Rhopessa Clypeus,Rhopessa-Clypeus,Clypeus Rhopessa,Clípeo de Rhopessa,Clipeo Rhopessa,ファルメルカプト,Armor,Head,4,0,2600,,,,
2714,Rhopessa Pleuron,Rhopessa-Pleuron,Pleuron Rhopessa,Pleura de Rhopessa,Pleura Rhopessa,ファルメルペクトス,Armor,Body,4,0,2600,,,,
2715,Rhopessa Manus,Rhopessa-Manus,Manus Rhopessa,Manica de Rhopessa,Empodi Rhopessa,ファルメルブラッソ,Armor,Arms,4,0,2600,,,,
2716,Rhopessa Alae,Rhopessa-Schwingen,Ailes Rhopessa,Ala de Rhopessa,Ali Rhopessa,ファルメルコクサ,Armor,Waist,4,0,2600,,,,
2717,Rhopessa Tarsi,Rhopessa-Tarsi,Pattes Rhopessa,Escarpe de Rhopessa,Femur Rhopessa,ファルメルフェムル,Armor,Legs,4,0,2600,,,,
2718,Lobster Helm,Hummer-Helm,Heaume Homard,Casco de langosta,Elmo aragosta,キングロブスタヘルム,Armor,Head,4,0,2300,,,,
2719,Lobster Mail,Hummer-Panzer,Coquille Homard,Malla de langosta,Cotta aragosta,キングロブスタシェル,Armor,Body,4,0,2300,,,,
2720,Lobster Vambraces,Hummer-Armschienen,Avant-bras Homard,Brazales de langosta,Parabraccia aragosta,キングロブスタアーム,Armor,Arms,4,0,2300,,,,
2721,Lobster Coil,Hummer-Hüftring,Boucle Homard,Faldón de langosta,Campana aragosta,Ｋ・ロブスタコイル,Armor,Waist,4,0,2300,,,,
2722,Lobster Greaves,Hummer-Beinschienen,Grèves Homard,Grebas de langosta,Schinieri aragosta,Ｋ・ロブスタグリーヴ,Armor,Legs,4,0,2300,,,,
2723,Lobster Cap,Hummer-Kappe,Calot Homard,Gorro de langosta,Cappello aragosta,Ｋ・ロブスタキャップ,Armor,Head,4,0,2300,,,,
2724,Lobster Vest,Hummer-Weste,Peau Homard,Chaleco de langosta,Pettorina aragosta,キングロブスタスキン,Armor,Body,4,0,2300,,,,
2725,Lobster Guards,Hummer-Armschutz,Gardes Homard,Guardabr. langosta,Protezioni aragosta,キングロブスタガード,Armor,Arms,4,0,2300,,,,
2726,Lobster Coat,Hummer-Waffenrock,Taille Homard,Cota de langosta,Fiancale aragosta,Ｋ・ロブスタコート,Armor,Waist,4,0,2300,,,,
2727,Lobster Leggings,Hummer-Gamaschen,Cuissard Homard,Calzas de langosta,Gambali aragosta,Ｋ・ロブスタレギンス,Armor,Legs,4,0,2300,,,,
2728,Guardian Helm,Wächter-Helm,Heaume Gardien,Casco de guardián,Elmo guardiano,ガーディアンヘルム,Armor,Head,4,0,2600,,,,
2729,Guardian Suit,Wächter-Gewand,Tenue Gardien,Traje de guardián,Abito guardiano,ガーディアンスーツ,Armor,Body,4,0,2600,,,,
2730,Guardian Vambraces,Wächter-Armschienen,Avant-bras Gardien,Brazales de guardián,Parabr. guardiano,ガーディアンアーム,Armor,Arms,4,0,2600,,,,
2731,Guardian Coil,Wächter-Lende,Boucle Gardien,Faldón de guardián,Campana guardiano,ガーディアンコイル,Armor,Waist,4,0,2600,,,,
2732,Guardian Boots,Wächter-Stiefel,Bottes Gardien,Botas de guardián,Stivali guardiano,ガーディアンブーツ,Armor,Legs,4,0,2600,,,,
2733,Guardian Mask,Wächter-Maske,Masque Gardien,Máscara de guardián,Maschera guardiano,ガーディアンマスク,Armor,Head,4,0,2600,,,,
2734,Guardian Vest,Wächter-Weste,Veste Gardien,Chaleco de guardián,Pettorina guardiano,ガーディアンベスト,Armor,Body,4,0,2600,,,,
2735,Guardian Guards,Wächter-Armschutz,Gardes Gardien,Guardabraz. guardián,Protezioni guardiano,ガーディアンガード,Armor,Arms,4,0,2600,,,,
2736,Guardian Coat,Wächter-Waffenrock,Taille Gardien,Cota de guardián,Fiancale guardiano,ガーディアンコート,Armor,Waist,4,0,2600,,,,
2737,Guardian Pants,Wächter-Hose,Chaussures Gardien,Pantalones guardián,Pantaloni guardiano,ガーディアンフット,Armor,Legs,4,0,2600,,,,
2738,Helper Hood,Helfer-Haube,Capuchon de servante,Capucha de ayudante,Cappuccio aiutante,ヘルパーフード,Armor,Head,4,0,2600,,,,
2739,Helper Suit,Helfer-Gewand,Tenue de servante,Traje de asistente,Abito aiutante,ヘルパースーツ,Armor,Body,4,0,2600,,,,
2740,Helper Gloves,Helfer-Handschuhe,Gants de servante,Guantes de asistente,Guanti aiutante,ヘルパーグラブ,Armor,Arms,4,0,2600,,,,
2741,Helper Skirt,Helfer-Rock,Jupe de servante,Falda de ayudante,Gonna aiutante,ヘルパースカート,Armor,Waist,4,0,2600,,,,
2742,Helper Socks,Helfer-Socken,Chaussettes servante,Calcetines ayudante,Calze aiutante,ヘルパーソックス,Armor,Legs,4,0,2600,,,,
2743,Helper Cap,Helfer-Kappe,Calot de servante,Gorro de asistente,Cappello aiutante,ヘルパーキャップ,Armor,Head,4,0,2600,,,,
2744,Helper Vest,Helfer-Weste,Veste de servante,Chaleco de ayudante,Pettorina aiutante,ヘルパーベスト,Armor,Body,4,0,2600,,,,
2745,Helper Sleeves,Helfer-Ärmel,Manches de servante,Mangas de ayudante,Maniche aiutante,ヘルパーカフス,Armor,Arms,4,0,2600,,,,
2746,Helper Frills,Helfer-Rüschen,Volant de servante,Adornos de asistente,Frange aiutante,ヘルパーフリル,Armor,Waist,4,0,2600,,,,
2747,Helper Tights,Helfer-Strumpfhose,Collant de servante,Leotardos asistente,Calzamaglia aiutante,ヘルパータイツ,Armor,Legs,4,0,2600,,,,
2748,Guild Bard Lobos,Gildenbarden-Lobos,Fedora de barde,Pluma bardo gremio,Feluca bardo,ギルドバードロポス,Armor,Head,4,0,3000,,,,
2749,Guild Bard Bolero,Gildenbarden-Bolero,Boléro de barde,Bolero bardo gremio,Bolero bardo,ギルドバードスーツ,Armor,Body,4,0,3000,,,,
2750,Guild Bard Braces,GildenbardenArmschin,Avant-bras de barde,Brazales bardo grem.,Parabraccia bardo,ギルドバードアーム,Armor,Arms,4,0,3000,,,,
2751,Guild Bard Coil,GildenbardenHüftring,Boucle de barde,Faja bardo gremio,Spira bardo,ギルドバードコイル,Armor,Waist,4,0,3000,,,,
2752,Guild Bard Boots,Gildenbarden-Stiefel,Bottes de barde,Botas bardo gremio,Stivali bardo,ギルドバードブーツ,Armor,Legs,4,0,3000,,,,
2753,Guild Bard Hat,Gildenbarden-Hut,Chapeau de barde,Sombrero bardo grem.,Copricapo bardo,ギルドバードハット,Armor,Head,4,0,3000,,,,
2754,Guild Bard Vest,Gildenbarden-Weste,Veste de barde,Chaleco bardo gremio,Pettorina bardo,ギルドバードベスト,Armor,Body,4,0,3000,,,,
2755,Guild Bard Sleeves,Gildenbarden-Ärmel,Manches de barde,Mangas bardo gremio,Maniche bardo,ギルドバードカフス,Armor,Arms,4,0,3000,,,,
2756,Guild Bard Coat,GildenbardWaffenrock,Taille de barde,Cota de bardo gremio,Fiancale bardo,ギルドバードコート,Armor,Waist,4,0,3000,,,,
2757,Guild Bard Gaiters,Gildenbarden-Stulpen,Guêtres de barde,Polainas bardo grem.,Ghette bardo,ギルドバードフット,Armor,Legs,4,0,3000,,,,
2758,Scholar's Beret,Gelehrten-Barett,Béret de clerc,Birrete de colegiala,Berretto Gilda,スカラーフード,Armor,Head,4,0,3000,,,,
2759,Scholar's Blouse,Gelehrten-Bluse,Tenue de clerc,Blusa de colegiala,Blusa Gilda,スカラースーツ,Armor,Body,4,0,3000,,,,
2760,Scholar's Gloves,Gelehrten-Handschuhe,Gants de clerc,Guantes de colegiala,Guanti Gilda,スカラーグラブ,Armor,Arms,4,0,3000,,,,
2761,Scholar's Skirt,Gelehrten-Rock,Jupe de clerc,Falda de colegiala,Gonna Gilda,スカラースカート,Armor,Waist,4,0,3000,,,,
2762,Scholar's Socks,Gelehrten-Socken,Chaussettes de clerc,Calcetines colegiala,Calze Gilda,スカラーソックス,Armor,Legs,4,0,3000,,,,
2763,Scholar's Cap,Gelehrten-Kappe,Calot de clerc,Gorro de colegiala,Cappello Gilda,スカラーベレー,Armor,Head,4,0,3000,,,,
2764,Scholar's Vest,Gelehrten-Weste,Veste de clerc,Chaleco de colegiala,Pettorina Gilda,スカラーベスト,Armor,Body,4,0,3000,,,,
2765,Scholar's Sleeves,Gelehrten-Ärmel,Manches de clerc,Mangas de colegiala,Maniche Gilda,スカラーカフス,Armor,Arms,4,0,3000,,,,
2766,Scholar's Mini,Gelehrten-Minirock,Minijupe de clerc,Minifalda colegiala,Frange Gilda,スカラーフリル,Armor,Waist,4,0,3000,,,,
2767,Scholar's Sandals,Gelehrten-Sandalen,Sandales de clerc,Sandalias colegiala,Sandali Gilda,スカラーサンダル,Armor,Legs,4,0,3000,,,,
2768,High Metal Helm S,Hochmetall-Helm S,Heaume haut-métal S,Casco de megametal S,Elmo Hi-Metal S,ハイメタＳヘルム,Armor,Head,5,0,10800,,,,
