_id,slot,defense,max_defense,fire_res,thunder_res,dragon_res,water_res,ice_res,gender,hunter_type,num_slots
2790,Arms,47,120,-5,3,0,2,-2,Both,Blade,2
2791,Waist,47,120,-5,3,0,2,-2,Both,Blade,2
2792,Legs,47,120,-5,3,0,2,-2,Both,Blade,1
2793,Head,23,78,-4,4,1,3,-1,Both,Gunner,2
2794,Body,23,78,-4,4,1,3,-1,Both,Gunner,1
2795,Arms,23,78,-4,4,1,3,-1,Both,Gunner,2
2796,Waist,23,78,-4,4,1,3,-1,Both,Gunner,2
2797,Legs,23,78,-4,4,1,3,-1,Both,Gunner,1
2798,Head,48,121,3,-4,2,-5,0,Both,Blade,1
2799,Body,48,121,3,-4,2,-5,0,Both,Blade,1
2800,Arms,48,121,3,-4,2,-5,0,Both,Blade,1
2801,Waist,48,121,3,-4,2,-5,0,Both,Blade,0
2802,Legs,48,121,3,-4,2,-5,0,Both,Blade,0
2803,Head,24,78,4,-3,3,-4,1,Both,Gunner,2
2804,Body,24,78,4,-3,3,-4,1,Both,Gunner,1
2805,Arms,24,78,4,-3,3,-4,1,Both,Gunner,1
2806,Waist,24,78,4,-3,3,-4,1,Both,Gunner,0
2807,Legs,24,78,4,-3,3,-4,1,Both,Gunner,0
2808,Head,48,121,-3,-3,3,3,2,Both,Blade,1
2809,Body,48,121,-3,-3,3,3,2,Both,Blade,1
2810,Arms,48,121,-3,-3,3,3,2,Both,Blade,0
2811,Waist,48,121,-3,-3,3,3,2,Both,Blade,1
2812,Legs,48,121,-3,-3,3,3,2,Both,Blade,2
2813,Head,24,78,-2,-2,4,4,3,Both,Gunner,1
2814,Body,24,78,-2,-2,4,4,3,Both,Gunner,1
2815,Arms,24,78,-2,-2,4,4,3,Both,Gunner,0
2816,Waist,24,78,-2,-2,4,4,3,Both,Gunner,1
2817,Legs,24,78,-2,-2,4,4,3,Both,Gunner,2
2818,Head,53,124,-4,-5,0,3,3,Both,Blade,1
2819,Body,53,124,-4,-5,0,3,3,Both,Blade,1
2820,Arms,53,124,-4,-5,0,3,3,Both,Blade,2
2821,Waist,53,124,-4,-5,0,3,3,Both,Blade,2
2822,Legs,53,124,-4,-5,0,3,3,Both,Blade,1
2823,Head,27,79,-3,-4,1,4,4,Both,Gunner,2
2824,Body,27,79,-3,-4,1,4,4,Both,Gunner,1
2825,Arms,27,79,-3,-4,1,4,4,Both,Gunner,2
2826,Waist,27,79,-3,-4,1,4,4,Both,Gunner,2
2827,Legs,27,79,-3,-4,1,4,4,Both,Gunner,1
2828,Head,55,124,3,0,3,-3,-5,Both,Blade,2
2829,Body,55,124,3,0,3,-3,-5,Both,Blade,1
2830,Arms,55,124,3,0,3,-3,-5,Both,Blade,0
2831,Waist,55,124,3,0,3,-3,-5,Both,Blade,2
2832,Legs,55,124,3,0,3,-3,-5,Both,Blade,0
2833,Head,28,80,4,1,4,-2,-4,Both,Gunner,2
2834,Body,28,80,4,1,4,-2,-4,Both,Gunner,1
2835,Arms,28,80,4,1,4,-2,-4,Both,Gunner,0
2836,Waist,28,80,4,1,4,-2,-4,Both,Gunner,2
2837,Legs,28,80,4,1,4,-2,-4,Both,Gunner,0
2838,Head,50,121,-5,1,1,1,2,Both,Blade,1
2839,Body,50,121,-5,1,1,1,2,Both,Blade,1
2840,Arms,50,121,-5,1,1,1,2,Both,Blade,1
2841,Waist,50,121,-5,1,1,1,2,Both,Blade,2
2842,Legs,50,121,-5,1,1,1,2,Both,Blade,1
2843,Head,25,79,-4,2,2,2,3,Both,Gunner,2
2844,Body,25,79,-4,2,2,2,3,Both,Gunner,1
2845,Arms,25,79,-4,2,2,2,3,Both,Gunner,1
2846,Waist,25,79,-4,2,2,2,3,Both,Gunner,2
2847,Legs,25,79,-4,2,2,2,3,Both,Gunner,1
2848,Head,50,121,3,-2,-4,0,0,Both,Blade,3
2849,Body,50,121,3,-2,-4,0,0,Both,Blade,1
2850,Arms,50,121,3,-2,-4,0,0,Both,Blade,1
2851,Waist,50,121,3,-2,-4,0,0,Both,Blade,1
2852,Legs,50,121,3,-2,-4,0,0,Both,Blade,1
2853,Head,25,79,4,-1,-3,1,1,Both,Gunner,3
2854,Body,25,79,4,-1,-3,1,1,Both,Gunner,1
2855,Arms,25,79,4,-1,-3,1,1,Both,Gunner,1
2856,Waist,25,79,4,-1,-3,1,1,Both,Gunner,1
2857,Legs,25,79,4,-1,-3,1,1,Both,Gunner,1
2858,Head,57,126,3,-2,-4,0,0,Both,Blade,3
2859,Body,57,126,3,-2,-4,0,0,Both,Blade,1
2860,Arms,57,126,3,-2,-4,0,0,Both,Blade,1
2861,Waist,57,126,3,-2,-4,0,0,Both,Blade,2
2862,Legs,57,126,3,-2,-4,0,0,Both,Blade,1
2863,Head,28,80,4,-1,-3,1,1,Both,Gunner,3
2864,Body,28,80,4,-1,-3,1,1,Both,Gunner,1
2865,Arms,28,80,4,-1,-3,1,1,Both,Gunner,1
2866,Waist,28,80,4,-1,-3,1,1,Both,Gunner,2
2867,Legs,28,80,4,-1,-3,1,1,Both,Gunner,1
2868,Head,55,124,2,-4,-2,-1,0,Both,Blade,1
2869,Body,55,124,2,-4,-2,-1,0,Both,Blade,1
2870,Arms,55,124,2,-4,-2,-1,0,Both,Blade,2
2871,Waist,55,124,2,-4,-2,-1,0,Both,Blade,2
2872,Legs,55,124,2,-4,-2,-1,0,Both,Blade,0
2873,Head,28,80,3,-3,-1,0,1,Both,Gunner,1
2874,Body,28,80,3,-3,-1,0,1,Both,Gunner,1
2875,Arms,28,80,3,-3,-1,0,1,Both,Gunner,2
2876,Waist,28,80,3,-3,-1,0,1,Both,Gunner,2
2877,Legs,28,80,3,-3,-1,0,1,Both,Gunner,0
2878,Head,52,123,0,3,1,-2,-4,Both,Blade,2
2879,Body,52,123,0,3,1,-2,-4,Both,Blade,3
2880,Arms,52,123,0,3,1,-2,-4,Both,Blade,0
2881,Waist,52,123,0,3,1,-2,-4,Both,Blade,3
2882,Legs,52,123,0,3,1,-2,-4,Both,Blade,0
2883,Head,26,79,1,4,2,-1,-3,Both,Gunner,2
2884,Body,26,79,1,4,2,-1,-3,Both,Gunner,3
2885,Arms,26,79,1,4,2,-1,-3,Both,Gunner,0
2886,Waist,26,79,1,4,2,-1,-3,Both,Gunner,3
2887,Legs,26,79,1,4,2,-1,-3,Both,Gunner,0
2888,Head,53,124,-4,-1,3,3,-3,Both,Blade,2
2889,Body,53,124,-4,-1,3,3,-3,Both,Blade,1
2890,Arms,53,124,-4,-1,3,3,-3,Both,Blade,2
2891,Waist,53,124,-3,-4,3,2,2,Both,Blade,2
2892,Legs,53,124,-4,-1,3,3,-3,Both,Blade,1
2893,Head,27,79,-3,0,4,4,-2,Both,Gunner,3
2894,Body,27,79,-3,0,4,4,-2,Both,Gunner,1
2895,Arms,27,79,-3,0,-4,4,-2,Both,Gunner,2
2896,Waist,27,79,-2,-3,4,3,3,Both,Gunner,1
2897,Legs,27,79,-3,0,4,4,-2,Both,Gunner,1
2898,Head,57,126,3,0,-3,-4,2,Both,Blade,1
2899,Body,57,126,3,0,-3,-4,2,Both,Blade,2
2900,Arms,57,126,3,0,-3,-4,2,Both,Blade,2
2901,Waist,57,126,3,0,-3,-4,2,Both,Blade,0
2902,Legs,57,126,3,0,-3,-4,2,Both,Blade,2
2903,Head,29,80,4,1,-2,-3,3,Both,Gunner,1
2904,Body,29,80,4,1,-2,-3,3,Both,Gunner,2
2905,Arms,29,80,4,1,-2,-3,3,Both,Gunner,2
2906,Waist,29,80,4,1,-2,-3,3,Both,Gunner,0
2907,Legs,29,80,4,1,-2,-3,3,Both,Gunner,2
2908,Head,47,120,3,-3,2,-4,0,Both,Blade,2
2909,Body,47,120,3,-3,2,-4,0,Both,Blade,2
2910,Arms,47,120,3,-3,2,-4,0,Both,Blade,2
2911,Waist,47,120,3,-3,2,-4,0,Both,Blade,2
2912,Legs,47,120,3,-3,2,-4,0,Both,Blade,2
2913,Head,23,78,4,-2,3,-3,1,Both,Gunner,2
2914,Body,23,78,4,-2,3,-3,1,Both,Gunner,2
2915,Arms,23,78,4,-2,3,-3,1,Both,Gunner,2
2916,Waist,23,78,4,-2,3,-3,1,Both,Gunner,2
2917,Legs,23,78,4,-2,3,-3,1,Both,Gunner,2
2918,Head,50,121,-1,1,-3,-2,1,Both,Blade,1
2919,Body,50,121,-1,1,-3,-2,1,Both,Blade,1
2920,Arms,50,121,-1,1,-3,-2,1,Both,Blade,2
2921,Waist,50,121,-1,1,-3,-2,1,Both,Blade,1
2922,Legs,50,121,-1,1,-3,-2,1,Both,Blade,2
2923,Head,25,79,0,2,-2,-1,2,Both,Gunner,1
2924,Body,25,79,0,2,-2,-1,2,Both,Gunner,1
2925,Arms,25,79,0,2,-2,-1,2,Both,Gunner,2
2926,Waist,25,79,0,2,-2,-1,2,Both,Gunner,1
2927,Legs,25,79,0,2,-2,-1,2,Both,Gunner,2
2928,Head,60,127,3,3,1,-4,-4,Both,Blade,1
2929,Body,60,127,3,3,1,-4,-4,Both,Blade,2
2930,Arms,60,127,3,3,1,-4,-4,Both,Blade,2
2931,Waist,60,127,3,3,1,-4,-4,Both,Blade,1
2932,Legs,60,127,3,3,1,-4,-4,Both,Blade,2
2933,Head,30,80,4,4,2,-3,-3,Both,Gunner,1
2934,Body,30,80,4,4,2,-3,-3,Both,Gunner,2
2935,Arms,30,80,4,4,2,-3,-3,Both,Gunner,2
2936,Waist,30,80,4,4,2,-3,-3,Both,Gunner,1
2937,Legs,30,80,4,4,2,-3,-3,Both,Gunner,2
2938,Head,57,126,0,-3,2,2,-4,Both,Blade,1
2939,Body,57,126,0,-3,2,2,-4,Both,Blade,2
2940,Arms,57,126,0,-3,2,2,-4,Both,Blade,2
2941,Waist,57,126,0,-3,2,2,-4,Both,Blade,2
2942,Legs,57,126,0,-3,2,2,-4,Both,Blade,1
2943,Head,29,80,1,-2,3,3,-3,Both,Gunner,2
2944,Body,29,80,1,-2,3,3,-3,Both,Gunner,2
2945,Arms,29,80,1,-2,3,3,-3,Both,Gunner,2
2946,Waist,29,80,1,-2,3,3,-3,Both,Gunner,1
2947,Legs,29,80,1,-2,3,3,-3,Both,Gunner,1
2948,Head,55,124,-4,0,1,2,2,Both,Blade,1
2949,Body,55,124,-4,0,1,2,2,Both,Blade,1
2950,Arms,55,124,-4,0,1,2,2,Both,Blade,0
2951,Waist,55,124,-4,0,1,2,2,Both,Blade,0
2952,Legs,55,124,-4,0,1,2,2,Both,Blade,2
2953,Head,28,80,-3,1,2,3,3,Both,Gunner,1
2954,Body,28,80,-3,1,2,3,3,Both,Gunner,1
2955,Arms,28,80,-3,1,2,3,3,Both,Gunner,0
2956,Waist,28,80,-3,1,2,3,3,Both,Gunner,0
2957,Legs,28,80,-3,1,2,3,3,Both,Gunner,2
2958,Head,52,123,-2,-4,1,3,0,Both,Blade,2
2959,Body,52,123,-2,-4,1,3,0,Both,Blade,1
2960,Arms,52,123,-2,-4,1,3,0,Both,Blade,1
2961,Waist,52,123,-2,-4,1,3,0,Both,Blade,2
2962,Legs,52,123,-2,-4,1,3,0,Both,Blade,3
2963,Head,26,79,-1,-3,2,4,1,Both,Gunner,2
2964,Body,26,79,-1,-3,2,4,1,Both,Gunner,1
2965,Arms,26,79,-1,-3,2,4,1,Both,Gunner,1
2966,Waist,26,79,-1,-3,2,4,1,Both,Gunner,2
2967,Legs,26,79,-1,-3,2,4,1,Both,Gunner,3
2968,Head,57,126,-5,-1,0,0,3,Both,Blade,1
2969,Body,57,126,-5,-1,0,0,3,Both,Blade,2
2970,Arms,57,126,-5,-1,0,0,3,Both,Blade,1
2971,Waist,57,126,-5,-1,0,0,3,Both,Blade,0
2972,Legs,57,126,-5,-1,0,0,3,Both,Blade,1
2973,Head,29,80,-4,0,1,1,4,Both,Gunner,1
2974,Body,29,80,-4,0,1,1,4,Both,Gunner,2
2975,Arms,29,80,-4,0,1,1,4,Both,Gunner,1
2976,Waist,29,80,-4,0,1,1,4,Both,Gunner,0
2977,Legs,29,80,-4,0,1,1,4,Both,Gunner,1
2978,Head,58,125,3,-1,2,-1,-1,Both,Blade,0
2979,Head,29,80,4,0,3,0,0,Both,Gunner,0
2980,Head,41,116,2,1,1,1,1,Both,Blade,2
2981,Body,41,116,2,1,1,1,1,Both,Blade,1
2982,Arms,41,116,2,1,1,1,1,Both,Blade,2
2983,Legs,41,116,2,1,1,1,1,Both,Blade,2
2984,Head,21,78,3,2,2,2,2,Both,Gunner,2
2985,Body,21,78,3,2,2,2,2,Both,Gunner,1
2986,Arms,21,78,3,2,2,2,2,Both,Gunner,2
2987,Legs,21,78,3,2,2,2,2,Both,Gunner,2
2988,Head,43,118,3,3,2,-5,-4,Male,Blade,1
2989,Body,43,118,3,3,2,-5,-4,Male,Blade,1
2990,Arms,43,118,3,3,2,-5,-4,Male,Blade,2
2991,Waist,43,118,3,3,2,-5,-4,Male,Blade,2
2992,Legs,43,118,3,3,2,-5,-4,Male,Blade,1
2993,Head,21,78,4,5,2,-4,-3,Male,Gunner,1
2994,Body,21,78,4,5,2,-4,-3,Male,Gunner,1
2995,Arms,21,78,4,5,2,-4,-3,Male,Gunner,2
2996,Waist,21,78,4,5,2,-4,-3,Male,Gunner,2
2997,Legs,21,78,4,5,2,-4,-3,Male,Gunner,1
2998,Head,43,118,3,3,2,-5,-4,Female,Blade,1
2999,Body,43,118,3,3,2,-5,-4,Female,Blade,1
3000,Arms,43,118,3,3,2,-5,-4,Female,Blade,2
3001,Waist,43,118,3,3,2,-5,-4,Female,Blade,2
3002,Legs,43,118,3,3,2,-5,-4,Female,Blade,1
3003,Head,21,78,4,5,2,-4,-3,Female,Gunner,1
3004,Body,21,78,4,5,2,-4,-3,Female,Gunner,1
3005,Arms,21,78,4,5,2,-4,-3,Female,Gunner,2
3006,Waist,21,78,4,5,2,-4,-3,Female,Gunner,2
3007,Legs,21,78,4,5,2,-4,-3,Female,Gunner,1
3008,Head,51,122,0,-3,3,-3,2,Both,Blade,1
3009,Body,51,122,0,-3,3,-3,2,Both,Blade,2
3010,Arms,51,122,0,-3,3,-3,2,Both,Blade,2
3011,Waist,51,122,0,-3,3,-3,2,Both,Blade,2
3012,Legs,51,122,0,-3,3,-3,2,Both,Blade,1
3013,Head,26,79,1,-2,4,-2,3,Both,Gunner,1
3014,Body,26,79,1,-2,4,-2,3,Both,Gunner,2
3015,Arms,26,79,1,-2,4,-2,3,Both,Gunner,2
3016,Waist,26,79,1,-2,4,-2,3,Both,Gunner,2
3017,Legs,26,79,1,-2,4,-2,3,Both,Gunner,1
3018,Head,18,77,0,0,1,0,0,Both,Both,3
3019,Body,18,77,3,0,1,-3,0,Both,Both,3
3020,Arms,18,77,0,-3,1,3,0,Both,Both,3
3021,Waist,18,77,0,3,1,0,-3,Both,Both,3
3022,Legs,18,77,-3,0,1,0,3,Both,Both,3
3023,Head,52,123,-5,-3,-2,3,2,Both,Blade,0
3024,Body,52,123,-5,-3,-2,3,2,Both,Blade,1
3025,Arms,52,123,-5,-3,-2,3,2,Both,Blade,0
3026,Waist,52,123,-5,-3,-2,3,2,Both,Blade,1
3027,Legs,52,123,-5,-3,-2,3,2,Both,Blade,0
3028,Head,26,79,-4,-2,-1,4,3,Both,Gunner,0
3029,Body,26,79,-4,-2,-1,4,3,Both,Gunner,1
3030,Arms,26,79,-4,-2,-1,4,3,Both,Gunner,0
3031,Waist,26,79,-4,-2,-1,4,3,Both,Gunner,1
3032,Legs,26,79,-4,-2,-1,4,3,Both,Gunner,0
3033,Head,58,125,3,-3,0,0,-2,Both,Blade,1
3034,Body,58,125,3,-3,0,0,-2,Both,Blade,0
3035,Arms,58,125,3,-3,0,0,-2,Both,Blade,1
3036,Waist,58,125,3,-3,0,0,-2,Both,Blade,3
3037,Legs,58,125,3,-3,0,0,-2,Both,Blade,1
3038,Head,29,80,4,-2,1,1,-1,Both,Gunner,1
3039,Body,29,80,4,-2,1,1,-1,Both,Gunner,0
3040,Arms,29,80,4,-2,1,1,-1,Both,Gunner,1
3041,Waist,29,80,4,-2,1,1,-1,Both,Gunner,3
3042,Legs,29,80,4,-2,1,1,-1,Both,Gunner,1
3043,Head,48,121,-5,3,0,2,-2,Both,Blade,2
3044,Body,48,121,-5,3,0,2,-2,Both,Blade,2
3045,Arms,48,121,-5,3,0,2,-2,Both,Blade,0
3046,Waist,48,121,-5,3,0,2,-2,Both,Blade,2
3047,Legs,48,121,-5,3,0,2,-2,Both,Blade,0
3048,Head,24,78,-4,4,1,3,-1,Both,Gunner,2
3049,Body,24,78,-4,4,1,3,-1,Both,Gunner,2
3050,Arms,24,78,-4,4,1,3,-1,Both,Gunner,0
3051,Waist,24,78,-4,4,1,3,-1,Both,Gunner,2
3052,Legs,24,78,-4,4,1,3,-1,Both,Gunner,0
3053,Head,51,122,1,1,1,-5,2,Both,Blade,1
3054,Body,51,122,1,1,1,-5,2,Both,Blade,2
3055,Arms,51,122,1,1,1,-5,2,Both,Blade,2
3056,Waist,51,122,1,1,1,-5,2,Both,Blade,1
3057,Legs,51,122,1,1,1,-5,2,Both,Blade,2
3058,Head,26,79,2,2,2,-4,3,Both,Gunner,2
3059,Body,26,79,2,2,2,-4,3,Both,Gunner,2
3060,Arms,26,79,2,2,2,-4,3,Both,Gunner,2
3061,Waist,26,79,2,2,2,-4,3,Both,Gunner,1
3062,Legs,26,79,2,2,2,-4,3,Both,Gunner,2
3063,Head,51,122,3,-2,-4,0,0,Both,Blade,1
3064,Body,51,122,3,-2,-4,0,0,Both,Blade,1
3065,Arms,51,122,3,-2,-4,0,0,Both,Blade,1
3066,Waist,51,122,3,-2,-4,0,0,Both,Blade,1
3067,Legs,51,122,3,-2,-4,0,0,Both,Blade,1
3068,Head,26,79,4,-1,-3,1,1,Both,Gunner,1
3069,Body,26,79,4,-1,-3,1,1,Both,Gunner,1
3070,Arms,26,79,4,-1,-3,1,1,Both,Gunner,1
3071,Waist,26,79,4,-1,-3,1,1,Both,Gunner,1
3072,Legs,26,79,4,-1,-3,1,1,Both,Gunner,1
3073,Head,58,125,3,0,-4,0,-2,Both,Blade,3
3074,Body,58,125,3,0,-4,0,-2,Both,Blade,1
3075,Arms,58,125,3,0,-4,0,-2,Both,Blade,1
3076,Waist,58,125,3,0,-4,0,-2,Both,Blade,1
3077,Legs,58,125,3,0,-4,0,-2,Both,Blade,1
3078,Head,29,80,4,1,-3,1,-1,Both,Gunner,3
3079,Body,29,80,4,1,-3,1,-1,Both,Gunner,1
3080,Arms,29,80,4,1,-3,1,-1,Both,Gunner,1
3081,Waist,29,80,4,1,-3,1,-1,Both,Gunner,1
3082,Legs,29,80,4,1,-3,1,-1,Both,Gunner,0
3083,Head,59,126,2,-2,-1,-4,0,Both,Blade,0
3084,Body,59,126,2,-2,-1,-4,0,Both,Blade,1
3085,Arms,59,126,2,-2,-1,-4,0,Both,Blade,1
3086,Waist,59,126,2,-2,-1,-4,0,Both,Blade,2
3087,Legs,59,126,2,-2,-1,-4,0,Both,Blade,2
3088,Head,29,80,3,-1,0,-3,1,Both,Gunner,0
3089,Body,29,80,3,-1,0,-3,1,Both,Gunner,1
3090,Arms,29,80,3,-1,0,-3,1,Both,Gunner,1
3091,Waist,29,80,3,-1,0,-3,1,Both,Gunner,2
3092,Legs,29,80,3,-1,0,-3,1,Both,Gunner,2
3093,Head,53,124,0,-5,4,-4,0,Both,Blade,2
3094,Body,53,124,0,-5,4,-4,0,Both,Blade,1
3095,Arms,53,124,0,-5,4,-4,0,Both,Blade,1
3096,Waist,53,124,0,-5,4,-4,0,Both,Blade,0
3097,Legs,53,124,0,-5,4,-4,0,Both,Blade,1
3098,Head,27,79,1,-4,5,-3,1,Both,Gunner,2
3099,Body,27,79,1,-4,5,-3,1,Both,Gunner,1
3100,Arms,27,79,1,-4,5,-3,1,Both,Gunner,1
3101,Waist,27,79,1,-4,5,-3,1,Both,Gunner,0
3102,Legs,27,79,1,-4,5,-3,1,Both,Gunner,1
3103,Head,58,125,3,1,1,-5,1,Both,Blade,2
3104,Body,58,125,3,1,1,-5,1,Both,Blade,3
3105,Arms,58,125,3,1,1,-5,1,Both,Blade,2
3106,Waist,58,125,3,1,1,-5,1,Both,Blade,1
3107,Legs,58,125,3,1,1,-5,1,Both,Blade,2
3108,Head,29,80,4,2,2,-4,2,Both,Gunner,2
3109,Body,29,80,4,2,2,-4,2,Both,Gunner,3
3110,Arms,29,80,4,2,2,-4,2,Both,Gunner,2
3111,Waist,29,80,4,2,2,-4,2,Both,Gunner,1
3112,Legs,29,80,4,2,2,-4,2,Both,Gunner,2
3113,Head,57,126,3,0,0,-4,-2,Both,Blade,2
3114,Body,57,126,3,0,0,-4,-2,Both,Blade,1
3115,Arms,57,126,3,0,0,-4,-2,Both,Blade,1
3116,Waist,57,126,3,0,0,-4,-2,Both,Blade,1
3117,Legs,57,126,3,0,0,-4,-2,Both,Blade,1
3118,Head,28,80,4,1,1,-3,-1,Both,Gunner,2
3119,Body,28,80,4,1,1,-3,-1,Both,Gunner,1
3120,Arms,28,80,4,1,1,-3,-1,Both,Gunner,1
3121,Waist,28,80,4,1,1,-3,-1,Both,Gunner,1
3122,Legs,28,80,4,1,1,-3,-1,Both,Gunner,1
3123,Head,62,127,0,-4,-4,0,1,Both,Blade,0
3124,Body,62,127,0,-4,-4,0,1,Both,Blade,0
3125,Arms,62,127,0,-4,-4,0,1,Both,Blade,0
3126,Waist,62,127,0,-4,-4,0,1,Both,Blade,0
3127,Legs,62,127,0,-4,-4,0,1,Both,Blade,3
3128,Head,31,80,1,-3,-3,1,2,Both,Gunner,0
3129,Body,31,80,1,-3,-3,1,2,Both,Gunner,0
3130,Arms,31,80,1,-3,-3,1,2,Both,Gunner,0
3131,Waist,31,80,1,-3,-3,1,2,Both,Gunner,0
3132,Legs,31,80,1,-3,-3,1,2,Both,Gunner,3
3133,Head,53,124,0,0,1,-2,-3,Both,Blade,1
3134,Body,53,124,0,0,1,-2,-3,Both,Blade,1
3135,Arms,53,124,0,0,1,-2,-3,Both,Blade,2
3136,Waist,53,124,0,0,1,-2,-3,Both,Blade,1
3137,Legs,53,124,0,0,1,-2,-3,Both,Blade,2
3138,Head,27,79,1,1,2,-1,-2,Both,Gunner,1
3139,Body,27,79,1,1,2,-1,-2,Both,Gunner,1
3140,Arms,27,79,1,1,2,-1,-2,Both,Gunner,2
3141,Waist,27,79,1,1,2,-1,-2,Both,Gunner,1
3142,Legs,27,79,1,1,2,-1,-2,Both,Gunner,2
3143,Head,60,127,-3,5,3,-3,-1,Both,Blade,1
3144,Body,60,127,-3,5,3,-3,-1,Both,Blade,1
3145,Arms,60,127,-3,5,3,-3,-1,Both,Blade,2
3146,Waist,60,127,-3,5,3,-3,-1,Both,Blade,1
3147,Legs,60,127,-3,5,3,-3,-1,Both,Blade,1
3148,Head,30,80,-2,6,4,-2,0,Both,Gunner,1
3149,Body,30,80,-2,6,4,-2,0,Both,Gunner,1
3150,Arms,30,80,-2,6,4,-2,0,Both,Gunner,2
3151,Waist,30,80,-2,6,4,-2,0,Both,Gunner,1
3152,Legs,30,80,-2,6,4,-2,0,Both,Gunner,1
3153,Head,60,127,-5,3,-1,1,-1,Both,Blade,2
3154,Body,60,127,-5,3,-1,1,-1,Both,Blade,1
3155,Arms,60,127,-5,3,-1,1,-1,Both,Blade,1
3156,Waist,60,127,-5,3,-1,1,-1,Both,Blade,3
3157,Legs,60,127,-5,3,-1,1,-1,Both,Blade,1
3158,Head,30,80,-4,4,0,2,0,Both,Gunner,2
3159,Body,30,80,-4,4,0,2,0,Both,Gunner,1
3160,Arms,30,80,-4,4,0,2,0,Both,Gunner,1
3161,Waist,30,80,-4,4,0,2,0,Both,Gunner,3
3162,Legs,30,80,-4,4,0,2,0,Both,Gunner,2
3163,Head,59,126,3,0,0,-5,-1,Both,Blade,0
3164,Body,59,126,3,0,0,-5,-1,Both,Blade,1
3165,Arms,59,126,3,0,0,-5,-1,Both,Blade,2
3166,Waist,59,126,3,0,0,-5,-1,Both,Blade,1
3167,Legs,59,126,3,0,0,-5,-1,Both,Blade,1
3168,Head,30,80,4,1,1,-4,0,Both,Gunner,0
3169,Body,30,80,4,1,1,-4,0,Both,Gunner,1
3170,Arms,30,80,4,1,1,-4,0,Both,Gunner,1
3171,Waist,30,80,4,1,1,-4,0,Both,Gunner,2
3172,Legs,30,80,4,1,1,-4,0,Both,Gunner,1
3173,Head,47,120,-2,0,3,0,0,Both,Blade,0
3174,Body,47,120,-2,0,3,0,0,Both,Blade,1
3175,Arms,47,120,-2,0,3,0,0,Both,Blade,2
3176,Waist,47,120,-2,0,3,0,0,Both,Blade,0
3177,Legs,47,120,-2,0,3,0,0,Both,Blade,3
3178,Head,24,78,-1,1,4,1,1,Both,Gunner,0
3179,Body,24,78,-1,1,4,1,1,Both,Gunner,1
3180,Arms,24,78,-1,1,4,1,1,Both,Gunner,2
3181,Waist,24,78,-1,1,4,1,1,Both,Gunner,0
3182,Legs,24,78,-1,1,4,1,1,Both,Gunner,3
3183,Head,45,120,2,1,2,-1,0,Male,Blade,2
3184,Body,45,120,2,1,2,-1,0,Male,Blade,3
3185,Arms,45,120,2,1,2,-1,0,Male,Blade,2
3186,Waist,45,120,2,1,2,-1,0,Male,Blade,2
3187,Legs,45,120,2,1,2,-1,0,Male,Blade,1
3188,Head,23,78,3,2,3,0,1,Male,Gunner,3
3189,Body,23,78,3,2,3,0,1,Male,Gunner,3
3190,Arms,23,78,3,2,3,0,1,Male,Gunner,1
3191,Waist,23,78,3,2,3,0,1,Male,Gunner,2
3192,Legs,23,78,3,2,3,0,1,Male,Gunner,1
3193,Head,45,120,2,1,2,-1,0,Female,Blade,2
3194,Body,45,120,2,1,2,-1,0,Female,Blade,3
3195,Arms,45,120,2,1,2,-1,0,Female,Blade,2
3196,Waist,45,120,2,1,2,-1,0,Female,Blade,2
3197,Legs,45,120,2,1,2,-1,0,Female,Blade,1
3198,Head,23,78,3,2,3,0,1,Female,Gunner,3
3199,Body,23,78,3,2,3,0,1,Female,Gunner,3
3200,Arms,23,78,3,2,3,0,1,Female,Gunner,1
3201,Waist,23,78,3,2,3,0,1,Female,Gunner,2
3202,Legs,23,78,3,2,3,0,1,Female,Gunner,1
3203,Head,52,123,0,0,0,0,0,Male,Blade,1
3204,Body,52,123,0,0,0,0,0,Male,Blade,2
3205,Arms,52,123,0,0,0,0,0,Male,Blade,1
3206,Waist,52,123,0,0,0,0,0,Male,Blade,2
3207,Legs,52,123,0,0,0,0,0,Male,Blade,0
3208,Head,26,79,1,1,1,1,1,Male,Gunner,1
3209,Body,26,79,1,1,1,1,1,Male,Gunner,2
3210,Arms,26,79,1,1,1,1,1,Male,Gunner,1
3211,Waist,26,79,1,1,1,1,1,Male,Gunner,2
3212,Legs,26,79,1,1,1,1,1,Male,Gunner,0
3213,Head,52,123,0,0,0,0,0,Female,Blade,1
3214,Body,52,123,0,0,0,0,0,Female,Blade,2
3215,Arms,52,123,0,0,0,0,0,Female,Blade,1
3216,Waist,52,123,0,0,0,0,0,Female,Blade,2
3217,Legs,52,123,0,0,0,0,0,Female,Blade,0
3218,Head,26,79,1,1,1,1,1,Female,Gunner,1
3219,Body,26,79,1,1,1,1,1,Female,Gunner,2
3220,Arms,26,79,1,1,1,1,1,Female,Gunner,1
3221,Waist,26,79,1,1,1,1,1,Female,Gunner,2
3222,Legs,26,79,1,1,1,1,1,Female,Gunner,0
3223,Head,60,127,-1,2,0,0,0,Both,Blade,2
3224,Body,60,127,-1,2,0,0,0,Both,Blade,2
3225,Arms,60,127,-1,2,0,0,0,Both,Blade,2
3226,Waist,60,127,-1,2,0,0,0,Both,Blade,2
3227,Legs,60,127,-1,2,0,0,0,Both,Blade,2
